z dist z_err dist_err
2.460782717389066843e+00 1.552560776911879437e+01 3.554824880137042453e-01 3.444931413869059877e+00
8.176569388895781332e-01 6.118895532318704866e+00 1.970228833539937052e-01 7.754801752894333600e-01
3.483910016237439233e+00 3.275560264862032511e+01 4.577890393471046315e-01 6.129980351389695770e+00
2.487781191840277017e+00 2.291264659594951780e+01 3.285554585898087798e-01 2.866637760951938674e+00
2.322087004688837997e+00 2.467491028981348222e+01 3.451565682867913099e-01 3.216969845965587549e+00
2.003326670577569857e+00 2.024902557849270934e+01 3.295386484246621839e-01 2.886833392685127286e+00
5.991413223346623296e-01 5.001215483375108128e+00 1.680054416954425145e-01 4.739981483750491109e-01
1.236002933617716515e+00 8.921855136004817055e+00 2.194998891189980650e-01 1.048435572999807386e+00
1.608084551241892424e+00 1.953956970539993776e+01 2.938619461660043064e-01 2.198108400068399693e+00
3.220745421063721192e+00 2.748231646544169848e+01 3.988845341726776628e-01 4.488524491149695983e+00
1.851329159958858606e+00 1.288929418713550845e+01 2.691025451276738423e-01 1.772864890662608550e+00
1.293719801018834659e+00 1.039646650897677382e+01 2.282005858766409934e-01 1.163322731948804423e+00
3.183949280286092254e+00 5.074676307232877548e+01 5.921373337647410917e-01 1.087895748972880838e+01
3.097964224977277858e+00 2.482047167417268696e+01 4.047930805284905009e-01 4.641380843263110734e+00
4.521972698901951526e-01 4.242148317635666466e+00 1.802241715527092003e-01 5.939284516322353991e-01
1.840123953290193182e+00 1.525207597230065026e+01 3.181017592912071534e-01 2.656189255440150276e+00
2.173728156735668549e+00 1.450611759371361131e+01 3.292785785934057019e-01 2.881484570009054114e+00
1.742732221290942185e+00 1.679306090248654826e+01 2.874330442456754509e-01 2.083571977893893479e+00
1.274233720358347588e+00 1.300556429507801326e+01 2.591616309394655926e-01 1.614128140955526369e+00
1.773115863749509691e+00 1.922961635413555115e+01 3.186167660649189548e-01 2.666374245981267155e+00
1.041373862902164049e+00 1.453455788677885785e+01 2.681851480867813997e-01 1.757929218864228371e+00
2.901401495922718343e+00 2.285194648352116786e+01 3.960099138032324717e-01 4.415098292132525692e+00
1.047159436351039252e+00 5.089786491510071897e+00 1.844683495905366510e-01 6.379801979618439089e-01
1.584275475725977378e+00 1.138854000951503131e+01 2.350410094125016391e-01 1.257271000173079356e+00
2.749306567348796637e+00 1.835190897970185020e+01 3.026243459288334714e-01 2.358900611219545862e+00
1.410789623354090416e+00 1.422154069884819449e+01 2.846713550674985771e-01 2.035259967347859078e+00
1.132564499763121457e+00 6.685700445686815208e+00 1.908098662767851172e-01 7.060918505920611432e-01
3.510355862097590762e+00 3.267282330310554528e+01 4.432135593388952799e-01 5.699329780595668637e+00
1.825988177525410538e+00 9.902003381811343985e+00 2.493013027937316939e-01 1.463418377971924755e+00
1.233348274700933223e+00 1.056824259227103902e+01 2.657860386529057872e-01 1.719146374957111645e+00
1.930343489959003955e+00 1.889233048922681135e+01 2.996071342352736866e-01 2.302922852035767853e+00
2.568376505380078001e+00 1.821259873391615969e+01 2.828385647725681906e-01 2.003492407450716772e+00
1.293687357595237231e+00 1.367078406235562760e+01 2.548254420465211889e-01 1.547026805078635991e+00
1.558841632013650225e+00 8.282788301126572605e+00 2.251955411206496283e-01 1.123059935363316830e+00
1.480815413752989640e+00 1.123699108460204421e+01 2.760266176053650655e-01 1.887477714050336264e+00
2.029914947935198111e+00 1.394669011949380888e+01 2.991701711395585161e-01 2.294869227923713950e+00
3.429172843729636266e+00 2.259390878135754832e+01 4.254431833972752708e-01 5.196155143665913911e+00
1.281370567678979056e+00 1.031202348992748696e+01 2.453636558188427852e-01 1.405102288174127745e+00
3.211051245943507215e+00 2.466111418111476183e+01 4.702644186876890342e-01 6.511510008724240350e+00
1.423432868341011792e+00 1.048353291613117300e+01 2.331071672869692302e-01 1.230387124569037205e+00
2.206203726978141599e+00 1.685237786585667763e+01 3.129962885311119991e-01 2.556243430232931768e+00
1.814102430394779697e+00 1.502890538957833932e+01 2.644926371764941275e-01 1.698403305570628019e+00
2.558463703292326308e+00 2.688463518179079870e+01 3.735819542462951448e-01 3.863267101629507039e+00
1.291383203716066630e+00 8.964449603183600956e+00 2.335018011922954662e-01 1.235852494044277439e+00
1.850293098882618725e+00 1.409780590802756883e+01 2.904934554023211324e-01 2.137734021042337673e+00
1.206329312745250792e+00 1.175335790493700650e+01 2.470876645558594265e-01 1.430503626170878340e+00
2.368360757063088240e+00 1.456358908231953464e+01 2.861893679646247968e-01 2.061749451368653396e+00
4.058820443712887749e-01 3.207787544941486324e+00 1.510547437464895004e-01 3.247134443858907815e-01
